cluster_id,cluster_name,companies,return_on_equity_pct_mean,return_on_equity_pct_median,debt_to_equity_mean,debt_to_equity_median,revenue_cagr_5y_pct_mean,revenue_cagr_5y_pct_median,fcf_cagr_5yr_mean,fcf_cagr_5yr_median,operating_profit_margin_pct_mean,operating_profit_margin_pct_median
0,Low-Growth / Recovery,21,14.26,11.82,0.65,0.44,9.79,9.61,-3.6,0.64,24.13,20.98
1,High-Quality Compounders,14,14.44,14.05,0.68,0.05,13.35,12.91,27.58,21.26,81.37,85.09
2,Exceptional ROE / Quality,8,1156.34,86.17,0.79,0.35,12.34,10.61,22.57,24.85,30.89,24.92
3,Leveraged / Cyclical,14,16.58,15.9,7.44,6.85,19.24,18.37,9.35,9.35,51.14,38.02
4,Cash-Flow Compounders,35,18.37,17.77,0.46,0.12,12.32,11.15,24.04,21.44,16.48,17.9
